! にじさんじ
! --------------------------------------------------------------------------------
あいぞのまなみ	Manami Aizono
あいばういは	Uiha Aiba
あかばねようこ	Youko Akabane
あさひなあかね	Akane Asahina
あすかひな	Hina Asuka
あづちもも	Momo Azuchi
あまみやこころ	Kokoro Amamiya
あめもりさよ	Sayo Amemori
あるすあるまる	Ars Almal
あんじゅかとりーな	Ange Katrina
いえながむぎMugi Ienaga
いずもかすみ	Kasumi Izumo
いぬいとこ	oko Inui
いぶらひむ	Ibrahim
うしみいちご	Ichigo Ushimi
うづきこう	Kou Uzuki
えくすあるびお	Ex Albio
えまおうがすと	Emma August
えりーこにふぁー	Eli Conifer
える	Elu
おとぎばらえら	Era Otogibara
おのまちはるか	Haruka Onomachi
かいだはる	Haru Kaida
かがみはやと	Hayato Kagami
かたりべつむぐ	Tsumugu Kataribe
かなえ	Kanae
かんだしょういち	Shoichi Kanda
きたこうじひすいHisui Kitakoji
きんぎょざかめいろ	Meiro Kingyozaka
ぎるざれんさんせい	Gilzaren Ⅲ
くずは	Kuzuha
くるすなつめ	Natsume Kurusu
くろいしば	Shiba Kuroi
ぐうぇるおすがーる	Gwelu Os Gar
ぐんどうみれい	Mirei Gundo
けんもちとうや	Toya Kenmochi
げんづきとうじろう	Tojiro Genzuki
さえぐさあきな	Akina Saegusa
さくらりつき	Ritsuki Sakura
ささきさく	Saku Sasaki
しいなゆいか	Yuika Shiina
しぇりんばーがんでぃ	Shellin Burgundy
しすたーくれあ	Sister Claire
しずかりん	Rin Shizuka
しぶやはじめ	Hajime Shibuya
しらゆきともえ	Tomoe Shirayuki
じょーりきいち	Joe Rikiichi
すおうさんご	Sango Suo
すこやかな	Kana Sukoya
すずかうたこ	Utako Suzuka
すずきまさる	Masaru Suzuki
すずはらるる	Lulu Suzuhara
すずやあき	Aki Suzuya
せとみやこ	Miyako Seto
そらほしきらめ	Kirame Sorahoshi
たかみやりおん	Rion Takamiya
つきのみと	Mito Tsukino
でびでびでびる	Debidebi Debiru
とうどうこはく	Kohaku Todo
とどろききょうこ	Kyoko Todoroki
どーら	Dola
ながおけい	Kei Nagao
ならか	Naraka
なるせなる	Naru Naruse
にしぞのちぐさ	Chigusa Nishizono
にゅいそしえーる	Nui Sociere
はかせふゆき	Fuyuki Hakase
はなばたけちゃいか	Chaika Hanabatake
はやせそう	Sou Hayase
はやままりん	Marin Hayama
