! にじさんじ
! --------------------------------------------------------------------------------
あいぞのまなみ	愛園 愛美
あいばういは	相羽 ういは
あかばねようこ	赤羽 葉子
あさひなあかね	朝日南 アカネ
あすかひな	飛鳥 ひな
あづちもも	安土 桃
あまみやこころ	天宮 こころ
あめもりさよ	雨森 小夜
あるすあるまる	アルス・アルマル
あんじゅかとりーな	アンジュ・カトリーナ
いえながむぎ	家長 むぎ
いずもかすみ	出雲 霞
いぬいとこ	戌亥 とこ
いぶらひむ	イブラヒム
うしみいちご	宇志海 いちご
うづきこう	卯月 コウ
えくすあるびお	エクス・アルビオ
えまおうがすと	えま★おうがすと
えりーこにふぁー	エリー・コニファー
える	える
おとぎばらえら	御伽原 江良
おのまちはるか	小野町 春香
かいだはる	甲斐田 晴
かがみはやと	加賀美 ハヤト
かたりべつむぐ	語部 紡
かなえ	叶
かんだしょういち	神田 笑一
きたこうじひすい	北小路 ヒスイ
きんぎょざかめいろ	金魚坂 めいろ
ぎるざれんさんせい	ギルザレン Ⅲ世
くずは	葛葉
くるすなつめ	来栖 夏芽
くろいしば	黒井 しば
ぐうぇるおすがーる	グウェル・オス・ガール
ぐんどうみれい	郡道 美玲
けんもちとうや	剣持 刀也
げんづきとうじろう	弦月 藤士郎
さえぐさあきな	三枝 明那
さくらりつき	桜凛 月
ささきさく	笹木 咲
しいなゆいか	椎名 唯華
しぇりんばーがんでぃ	シェリン・バーガンディ
しすたーくれあ	シスター・クレア
しずかりん	静 凛
しぶやはじめ	渋谷 ハジメ
しらゆきともえ	白雪 巴
じょーりきいち	ジョー・力一
すおうさんご	周央 サンゴ
すこやかな	健屋 花那
すずかうたこ	鈴鹿 詩子
すずきまさる	鈴木 勝
すずはらるる	鈴原 るる
すずやあき	鈴谷 アキ
せとみやこ	瀬戸 美夜子
そらほしきらめ	空星 きらめ
たかみやりおん	鷹宮 リオン
つきのみと	月ノ 美兎
でびでびでびる	でびでび・でびる
とうどうこはく	東堂 コハク
とどろききょうこ	轟 京子
どーら	ドーラ
ながおけい	長尾 景
ならか	奈羅花
なるせなる	成瀬 鳴
にしぞのちぐさ	西園 チグサ
にゅいそしえーる	ニュイ・ソシエール
はかせふゆき	葉加瀬 冬雪
はなばたけちゃいか	花畑 チャイカ
はやせそう	早瀬 走
