! にじさんじ
! --------------------------------------------------------------------------------
あいぞのまなみ	💕
あいばういは	🍮💎
あかばねようこ	💀
あさひなあかね	🦖🎖
あすかひな	🐤
あづちもも	🍑
あまみやこころ	🎐
あめもりさよ	☂️☔️🌂
あるすあるまる	📕
あんじゅかとりーな	⚖
いえながむぎ	🌷
いずもかすみ	🦑
いぬいとこ	🍹
いぶらひむ	💧
うしみいちご	🍓
うづきこう	🌙
えくすあるびお	🛡
えまおうがすと	★
えりーこにふぁー	🌲
える	🗼
おとぎばらえら	🏰🕛
おのまちはるか	♨️
かいだはる	🌞
かがみはやと	🏢
かたりべつむぐ	🧂📘
かなえ	🔫
かんだしょういち	🔪🍅
きたこうじひすい	❇
きんぎょざかめいろ	🩰
ぎるざれんさんせい	🏰,🌕
くずは	🎲
くるすなつめ	🐏🎵
くろいしば	🐕🐾
ぐうぇるおすがーる	😎
ぐんどうみれい	📚🐽
けんもちとうや	⚔️,🔻
げんづきとうじろう	🎻🛵
さえぐさあきな	🌶
さくらりつき	🌸
ささきさく	🎋
しいなゆいか	👻
しぇりんばーがんでぃ	🧐
しすたーくれあ	🔔
しずかりん	💜,🥦
しぶやはじめ	👓,🌱
しらゆきともえ	👠⛓
じょーりきいち	🎈🤡
すおうさんご	💞🦩
すこやかな	💉💘
すずかうたこ	🎶
すずきまさる	☪
すずはらるる	🎨
すずやあき	🐈,🍣
せとみやこ	📷💚
そらほしきらめ	🌌
たかみやりおん	🦅
つきのみと	🐰
でびでびでびる	🚪👿
とうどうこはく	🍯
とどろききょうこ	🐐
どーら	🔥
ながおけい	☯
ならか	✖🍳
なるせなる	🎙
にしぞのちぐさ	🐬🌱
にゅいそしえーる	🎃
はかせふゆき	⚗
はなばたけちゃいか	🌵
はやせそう	🏃‍♀️💨,🚴‍♀️
はやままりん	🍃🗻
はるさきえある	🍭
ひぐちかえで	🍁
ふしみがく	✌,🦊
ふみ	🔖
ふみのたまき	🐟,🐱
ふれんいーるすたりお	🎠
ふわみなと	🥂✨
べるもんどばんでらす	🥃
ほしかわさら	🌟
ほんまひまわり	🌻
まいもとけいすけ	👨‍🌾
まかいのりりむ	🍼
ましろ	🧷
まちたちま	🐹
まつかいまお	💥
まゆずみかい	💻💙
めりっさきんれんか	🐝
もいら	😇
もののべありす	♥️♦️♠️♣️
もりなかかざき	🐻,🌼
やぐるまりね	🌽
やしろきずく	🖥
やまがみかるた	🎴
ゆうきちひろ	🎀💙
ゆうひりり	🌇,⏳
ゆきしろまひろ	🌐💫
ゆづきろあ	🌖
ゆめおいかける	🎤
よるみれな	🎩🐤
らとなぷてぃ	🐻💎
りぜへるえすた	👑
りゅーしぇん	🐼
りんどうみこと	🍶⚜️
るいすきゃみー	❤️🦋
れゔぃえりふぁ	🔲
わらべだめいじー	🐺🍎

!にじさんじ (脱退)
! --------------------------------------------------------------------------------
てんかいつかさ	🎲
ふぇありす	🐦
かみなりぽあろ	⚡
くろはくろと	

! にじさんじ (引退)
! --------------------------------------------------------------------------------
あちきたちなみ	🍬
うみやしゃのかみ	⛩
くどうちとせ	🧠
せつな	❄️
つきみしずく	🎑💊
なかおあずま	☀️
なるとこがね	
はっさくゆず	🍊
やみよのもるる	🍜

! 契約解除
! --------------------------------------------------------------------------------
しんどうらいと	⚡

! 未デビュー
! --------------------------------------------------------------------------------
ゆーどりっく	
かさはらあお	
ゔぉるふがんぐごせい	
ぷろふぇっさーえばんす	
さいるすと	
にこ	
たかなしみみ	
うみほしすてら	

! 別名義など
! --------------------------------------------------------------------------------
はなぶせしほ	
かどなしえりふぁ	
つきのみう	
そらほしきらと	
るこ	
よみなみさくや	
でびっち	
しぶやおわり	
のらねこ	
ゆがみん	
たずみりく	
けんもちりきや	
けんもちとうこ	

! NIJISANJI ID
! --------------------------------------------------------------------------------
たからじまん	🥩
ぜあこるねりあ	🔶
はなまきあ	☕ 
らいがりれい	🚨
あみしあみしぇら	🐧
みゆおったゔぃあ	🦦✌️
りくさでぃれんどら	💥
らいらあるすとろえめりあ	🕰🌺
ならはらまうん	🐯
あずらせしりあ	👽 
えとなくりむそん	🌋🍔
ぼんにふぃえるぷらなじゃ	🎣
しすかれおんたいん	🔦🦁
でれむかど	🎁
なぎさあるしにあ	🍭🐥
れざあふぁんるな	🌒☁️

! NIJISANJI KR
! --------------------------------------------------------------------------------
あきられい	😸
いしう	🐾
いろは	🔰
うぃふぃ	📶
おじゆ	
がおん	👔
しんぎる	
しんゆや	🌛🌱
そなぎ	🌧️
ちぇあら	🌹
ぬんぼら	❄️💜
はんちほ	🦋
みんすぅーは	🌊
やんなり	
りゅはり	

! NIJISANJI KR (引退・脱退)
! --------------------------------------------------------------------------------
ゆるり	🎀🧸
かえん	🦴🔔
ろーろー	
はくれん	☁🌫️

! VirtuaReal Project
! --------------------------------------------------------------------------------
あいね	
あざ	
いちご	
かおす	
かる	
きよら	
こういち	
さまえる	
さや	
しき	
せいや	
たびびと	
ちはる	
ななみ	
にゃつき	
ぷらす	
ほしみ	
まひる	
みき	
むり	
やぎみちゆき	
ゆきえ	
るき	
ろい	
わくひめ	

! VirtuaReal Star
! --------------------------------------------------------------------------------
りんいぇんようさ		0

! 元 VirtuaReal Project
! --------------------------------------------------------------------------------
はのん	
みもい	
ぱっくす	

