! にじさんじ
! --------------------------------------------------------------------------------
あいぞのまなみ	愛園愛美 (Aizono Manami)
あいばういは	相羽ういは (Aiba Uiha)
あかばねようこ	赤羽葉子 (Akabane Youko)
あさひなあかね	朝日南アカネ (Asahina Akane)
あすかひな	飛鳥ひな (Asuka Hina )
あづちもも	安土桃 (Azuchi Momo)
あまみやこころ	天宮こころ (Amamiya Kokoro)
あめもりさよ	雨森小夜 (Amemori Sayo)
あるすあるまる	アルス・アルマル (Ars Almal)
あんじゅかとりーな	アンジュ・カトリーナ (Ange Katrina)
いえながむぎ	家長むぎ (Ienaga Mugi)
いずもかすみ	出雲霞 (Izumo Kasumi)
いぬいとこ	戌亥とこ (Inui Toko)
いぶらひむ	イブラヒム (Ibrahim)
うしみいちご	宇志海いちご (Ushimi Ichigo)
うづきこう	卯月コウ (Uzuki Kou)
えくすあるびお	エクス・アルビオ (Ex Albio)
えまおうがすと	えま★おうがすと (Emma★August)
えりーこにふぁー	エリー・コニファー (Eli Conifer)
える	える (Elu)
おとぎばらえら	御伽原江良 (Otogibara Era)
おのまちはるか	小野町春香 (Onomachi Haruka)
かいだはる	甲斐田晴 (Kaida Haru)
かがみはやと	加賀美ハヤト (Kagami Hayato)
かたりべつむぐ	語部紡 (Kataribe Tsumugu)
かなえ	叶 (Kanae)
かんだしょういち	神田笑一 (Kanda Shoichi)
きたこうじひすい	北小路ヒスイ (Kitakoji Hisui)
きんぎょざかめいろ	金魚坂めいろ (Kingyozaka Meiro)
ぎるざれんさんせい	ギルザレンⅢ世 (Gilzaren Ⅲ)
くずは	葛葉 (Kuzuha)
くるすなつめ	来栖夏芽 (Kurusu Natsume)
くろいしば	黒井しば (Kuroi Shiba)
ぐうぇるおすがーる	グウェル・オス・ガール (Gwelu Os Gar)
ぐんどうみれい	郡道美玲 (Gundo Mirei)
けんもちとうや	剣持刀也 (Kenmochi Toya)
げんづきとうじろう	弦月藤士郎 (Genzuki Tojiro)
さえぐさあきな	三枝明那 (さえぐさ あきな / Saegusa Akina)
さくらりつき	桜凛月 (さくら りつき / Sakura Ritsuki)
ささきさく	笹木咲 (ささき さく / Sasaki Saku)
しいなゆいか	椎名唯華 (しいな ゆいか / Shiina Yuika)
しぇりんばーがんでぃ	シェリン・バーガンディ (Shellin Burgundy)
しすたーくれあ	シスター・クレア (Sister Claire)
しずかりん	静凛 (しずか りん / Shizuka Rin)
しぶやはじめ	渋谷ハジメ (しぶや はじめ / Shibuya Hajime)
しらゆきともえ	白雪巴 (しらゆき ともえ / Shirayuki Tomoe)
じょーりきいち	ジョー・力一 (― りきいち / Joe Rikiichi)
すおうさんご	周央サンゴ (すおう ― / Suo Sango)
すこやかな	健屋花那 (すこや かな / Sukoya Kana)
すずかうたこ	鈴鹿詩子 (すずか うたこ / Suzuka Utako)
