! にじさんじ
! ============
あいぞのまなみ	愛園愛美
あいばういは	相羽ういは
あかばねようこ	赤羽葉子
あさひなあかね	朝日南アカネ
あすかひな	飛鳥ひな
あちきたちなみ	遠北千南
あづちもも	安土桃
あまみやこころ	天宮こころ
あめもりさよ	雨森小夜
あるすあるまる	アルス・アルマル
あんじゅかとりーな	アンジュ・カトリーナ
いえながむぎ	家長むぎ
いずもかすみ	出雲霞
いぬいとこ	戌亥とこ
いぶらひむ	イブラヒム
うしみいちご	宇志海いちご
うづきこう	卯月コウ
えくすあるびお	エクス・アルビオ
えまおうがすと	えま★おうがすと
えりーこにふぁー	エリー・コニファー
える	エルフのえる
えるふのえる	エルフのえる
おとぎばらえら	御伽原江良
おのまちはるか	小野町春香
かいだはる	甲斐田晴
かがみはやと	加賀美ハヤト
かたりべつむぐ	語部紡
かなえ	叶
かんだしょういち	神田笑一
きたこうじひすい	北小路ヒスイ
きんぎょざかめいろ	金魚坂めいろ
ぎるざれんさんせい	ギルザレンⅢ世
くずは	葛葉
くどうちとせ	久遠千歳
くるすなつめ	来栖夏芽
くろいしば	黒井しば
ぐうぇるおすがーる	グウェル・オス・ガール
ぐんどうみれい	郡道美玲
けんもちとうや	剣持刀也
げんづきとうじろう	弦月藤士郎
さえぐさあきな	三枝明那
さくらりつき	桜凛月
ささきさく	笹木咲
しいなゆいか	椎名唯華
しぇりんばーがんでぃ	シェリン・バーガンディ
しすたーくれあ	シスター・クレア
しずかりん	静凛
しぶやはじめ	渋谷ハジメ
しらゆきともえ	白雪巴
じょーりきいち	ジョー・力一
すおうさんご	周央サンゴ
すこやかな	健屋花那
すずかうたこ	鈴鹿詩子
すずきまさる	鈴木勝
すずはらるる	鈴原るる
すずやあき	鈴谷アキ
せつな	雪汝
せとみやこ	瀬戸美夜子
たかみやりおん	鷹宮リオン
つきのみと	月ノ美兎
つきみしずく	月見しずく
でびでびでびる	でびでび・でびる
とうどうこはく	東堂コハク
とどろききょうこ	轟京子
どーら	ドーラ
なかおあずま	名伽尾アズマ
ながおけい	長尾景
ならか	奈羅花
なるせなる	成瀬鳴
なるとこがね	鳴門こがね
にしぞのちぐさ	西園チグサ
にじさんじ	にじさんじ
にゅいそしえーる	ニュイ・ソシエール
はかせふゆき	葉加瀬冬雪
